Event Description,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time to Restore
Severe Weather - Thunderstorms,7/27/2012,5:19 PM,7/28/2012,5:19 PM,0:00
Severe Weather - Thunderstorms,7/26/2012,6:21 PM,7/28/2012,11:30 PM,5:09
Severe Weather - Thunderstorms,7/26/2012,6:14 PM,7/27/2012,6:14 PM,0:00
Severe Weather - Thunderstorms,7/24/2012,7:30 AM,7/24/2012,10:00 PM,14:30
Severe Weather - Thunderstorms,7/24/2012,7:01 AM,7/24/2012,4:30 PM,9:29
Severe Weather; Equipment Failure,7/21/2012,2:19 AM,7/21/2012,5:20 AM,3:01
Vandalism,7/19/2012,12:32 PM,7/19/2012,12:33 PM,0:01
Fuel Supply Deficiency (Coal),7/19/2012,10:30 AM,7/31/2012,11:00 AM,0:30
Severe Weather - Thunderstorms,7/18/2012,2:16 PM,7/19/2012,11:58 PM,9:42
Severe Weather - Thunderstorms,7/18/2012,4:20 PM,7/18/2012,7:05 PM,2:45
Public Appeal to Reduce Energy Usage,7/16/2012,11:27 AM,7/16/2012,12:29 PM,1:02
Energy Deficiency Alert,7/9/2012,12:15 PM,7/9/2012,4:14 PM,3:59
Severe Weather - Thunderstorms,7/7/2012,6:06 AM,7/9/2012,11:00 PM,16:54
Severe Weather - Thunderstorms,7/7/2012,6:00 PM,7/9/2012,7:01 PM,1:01
Fuel Supply Deficiency (Water),7/7/2012,4:00 AM,7/10/2012,4:00 AM,0:00
Vandalism,7/6/2012,3:05 PM,7/6/2012,3:06 PM,0:01
Severe Weather - Thunderstorms,7/5/2012,12:00 AM,7/6/2012,8:30 PM,20:30
Operational Failure; Storm Damage,7/1/2012,4:47 PM,7/1/2012,11:00 PM,6:13
Severe Weather,7/1/2012,5:45 PM,7/1/2012,10:15 PM,4:30
Severe Weather - Thunderstorms,7/1/2012,1:00 PM,7/3/2012,3:00 PM,2:00
Severe Weather - Thunderstorms,6/30/2012,1:15 AM,7/7/2012,5:33 PM,16:18
Severe Weather - Thunderstorms,6/30/2012,1:00 AM,7/3/2012,1:00 AM,0:00
Severe Weather - Thunderstorms,6/29/2012,5:15 PM,7/2/2012,11:59 PM,6:44
Public Appeal to Reduce Electricity Usage,6/29/2012,4:00 PM,6/29/2012,9:00 PM,5:00
Severe Weather - Thunderstorms,6/29/2012,7:00 PM,7/7/2012,7:43 PM,0:43
Severe Weather - Thunderstorms,6/29/2012,2:10 PM,7/4/2012,6:00 PM,3:50
Equipment Trip & Failure,6/29/2012,12:10 PM,6/29/2012,5:02 PM,4:52
Severe Weather - Thunderstorms,6/29/2012,4:00 PM,7/2/2012,4:00 PM,0:00
Physical Attack,6/29/2012,10:45 AM,6/29/2012,10:45 AM,0:00
Load Shed,6/23/2012,6:57 PM,6/23/2012,7:28 PM,0:31
Severe Weather - Thunderstorms,6/19/2012,4:30 AM,6/20/2012,11:00 PM,18:30
Fuel Supply Deficiency (Water),6/19/2012,5:30 AM,6/21/2012,5:30 AM,0:00
Vandalism,6/13/2012,4:55 PM,6/13/2012,10:09 PM,5:14
Load Shed,6/8/2012,5:20 PM,6/8/2012,5:25 PM,0:05
Vandalism,6/6/2012,12:37 PM,6/6/2012,12:37 PM,0:00
Vandalism,6/6/2012,8:00 AM,6/6/2012,8:00 AM,0:00
Vandalism,6/2/2012,7:30 AM,6/2/2012,11:35 AM,4:05
Physical Attack,5/29/2012,6:30 PM,5/29/2012,7:40 PM,1:10
Physical Attack,5/24/2012,3:20 PM,5/25/2012,5:29 PM,2:09
Vandalism,5/11/2012,11:05 AM,5/11/2012,11:20 AM,0:15
Load Shed/Severe Weather  - Lightning Storm,5/7/2012,5:45 PM,5/7/2012,6:06 PM,0:21
Vandalism,5/7/2012,12:50 PM,5/7/2012,2:00 PM,1:10
Suspected Physical Attack,4/23/2012,11:56 AM,4/23/2012,3:35 PM,3:39
Suspected Physical Attack,4/23/2012,8:11 AM,4/23/2012,12:47 PM,4:36
Physical Attack,4/21/2012,3:02 PM,4/21/2012,8:09 PM,5:07
Suspected Physical Attack,4/19/2012,7:53 AM,4/19/2012,4:00 PM,8:07
Suspected Physical Attack,4/17/2012,6:11 AM,4/17/2012,5:48 PM,11:37
Suspected Physical Attack,4/15/2012,7:38 PM,4/15/2012,9:26 PM,1:48
Suspected Physical Attack,4/12/2012,8:08 AM,4/12/2012,4:30 PM,8:22
Vandalism,4/11/2012,9:00 AM,4/11/2012,9:00 AM,0:00
Physical Attack,4/7/2012,2:35 PM,4/7/2012,2:36 PM,0:01
Physical Attack,4/7/2012,12:25 PM,4/7/2012,12:26 PM,0:01
Physical Attack,4/7/2012,9:31 AM,4/7/2012,9:32 AM,0:01
Physical Attack,4/3/2012,3:33 PM,4/3/2012,8:25 PM,4:52
Vandalism,4/3/2012,11:10 AM,4/3/2012,11:25 AM,0:15
Suspected Physical Attack,3/30/2012,11:10 AM,3/30/2012,11:30 AM,0:20
Electrical System Separation (Islanding),3/29/2012,12:01 PM,3/29/2012,12:02 PM,0:01
Suspected Physical Attack,3/28/2012,10:17 AM,3/28/2012,10:17 AM,0:00
Suspected Physical Attack,3/26/2012,1:24 PM,3/26/2012,1:24 PM,0:00
Suspected Physical Attack,3/23/2012,7:34 PM,3/23/2012,7:34 PM,0:00
Severe Weather - Thunderstorms,3/20/2012,8:00 AM,3/20/2012,1:00 PM,5:00
Suspected Physical Attack,3/16/2012,4:00 PM,3/16/2012,4:00 PM,0:00
Suspected Physical Attack,3/4/2012,1:27 AM,3/4/2012,6:58 AM,5:31
Operational Failure/Equipment Malfunction,3/2/2012,1:45 PM,3/2/2012,3:30 PM,1:45
Suspected Physical Attack,2/28/2012,7:00 AM,2/28/2012,7:00 AM,0:00
Electrical System Separation (Islanding),2/28/2012,2:59 AM,2/28/2012,6:12 AM,3:13
Suspected Physical Attack,2/24/2012,11:24 AM,2/24/2012,11:49 AM,0:25
Suspected Physical Attack,2/23/2012,5:45 AM,2/23/2012,3:02 PM,9:17
Suspected Cyber Attack,2/17/2012,3:00 AM,2/17/2012,11:33 AM,8:33
Suspected Physical Attack,2/15/2012,5:33 AM,2/15/2012,5:30 PM,11:57
Suspected Physical Attack,2/13/2012,7:02 AM,2/13/2012,4:25 PM,9:23
Suspected Physical Attack,2/11/2012,8:47 AM,2/11/2012,10:30 AM,1:43
Suspected Physical Attack,2/11/2012,8:55 AM,2/11/2012,8:55 AM,0:00
Vandalism,1/29/2012,12:45 PM,1/29/2012,12:45 PM,0:00
Vandalism,1/27/2012,9:40 AM,1/27/2012,9:40 AM,0:00
Vandalism,1/24/2012,11:22 AM,1/24/2012,11:22 AM,0:00
Severe Weather - Winter Storm,1/19/2012,7:00 AM,1/20/2012,3:00 PM,8:00
Suspected Cyber Attack,1/17/2012,10:31 AM,1/17/2012,5:21 PM,6:50
Vandalism,1/15/2012,9:35 AM,1/15/2012,9:35 AM,0:00
Physical Attack,1/13/2012,9:20 AM,1/13/2012,9:20 AM,0:00
Physical Attack,1/12/2012,8:26 AM,1/12/2012,8:26 AM,0:00
Suspected Physical Attack,1/11/2012,7:19 AM,1/11/2012,9:07 AM,1:48
Load Shed,1/10/2012,9:30 PM,1/10/2012,9:30 PM,0:00
Vandalism,1/9/2012,2:30 PM,1/9/2012,3:30 PM,1:00
Sabotage,1/5/2012,10:35 AM,1/5/2012,12:25 PM,1:50
Suspected physical attack,1/5/2012,10:28 AM,1/5/2012,12:25 PM,1:57
Suspected physical attack,1/4/2012,12:14 PM,1/4/2012,12:14 PM,0:00
Suspected Physical Attack,12/31/2011,9:26 PM,12/31/2011,9:26 PM,0:00
Suspected Cyber Attack,12/21/2011,10:30 AM,12/21/2011,10:30 AM,0:00
Suspected Physical Attack,12/20/2011,9:30 AM,12/20/2011,9:31 AM,0:01
Suspected Physical Attack,12/20/2011,7:45 AM,12/20/2011,8:45 AM,1:00
Suspected Physical Attack,12/19/2011,8:48 AM,12/19/2011,4:00 PM,7:12
Suspected Physical Attack,12/13/2011,3:19 AM,12/14/2011,3:19 AM,0:00
Suspected Physical Attack,12/8/2011,8:45 AM,12/8/2011,4:30 PM,7:45
Severe Weather,12/7/2011,7:29 PM,12/7/2011,10:57 PM,3:28
Public Appeal to Reduce Electricity Usage,12/6/2011,8:00 AM,12/6/2011,8:00 PM,12:00
Suspected Physical Attack,12/5/2011,2:00 PM,12/6/2011,5:00 PM,3:00
Suspected Physical Attack,12/2/2011,4:15 PM,12/2/2011,8:30 PM,4:15
Severe Weather,12/1/2011,12:45 AM,12/7/2011,9:00 PM,20:15
Severe Weather,12/1/2011,10:00 AM,12/2/2011,1:11 PM,3:11
Severe Weather,12/1/2011,3:29 AM,12/2/2011,1:05 PM,9:36
Vandalism,11/30/2011,10:00 AM,11/30/2011,11:00 AM,1:00
Suspected Physical Attack,11/22/2011,11:16 PM,11/22/2011,11:16 PM,0:00
Vandalism,11/14/2011,2:24 PM,11/14/2011,2:24 PM,0:00
Vandalism,11/13/2011,11:30 AM,11/13/2011,12:00 PM,0:30
Vandalism,11/4/2011,10:46 AM,11/4/2011,10:46 AM,0:00
Severe Weather,10/29/2011,12:57 PM,11/3/2011,11:00 PM,10:03
Severe Weather,10/29/2011,4:16 PM,11/2/2011,9:30 PM,5:14
Severe Weather,10/29/2011,8:00 PM,10/31/2011,8:00 PM,0:00
Severe Weather,10/29/2011,8:59 AM,11/7/2011,7:58 PM,10:59
Severe Weather,10/29/2011,8:59 AM,11/7/2011,3:00 PM,6:01
Severe Weather,10/29/2011,2:00 PM,10/31/2011,14:00,0:00
Severe Weather,10/29/2011,9:59 AM,11/7/2011,1:00 PM,3:01
Vandalism,10/27/2011,1:00 AM,10/27/2011,2:36 AM,1:36
Severe Weather,10/26/2011,5:00 AM,10/27/2011,3:00 PM,10:00
Vandalism,10/20/2011,7:15 AM,10/20/2011,7:15 AM,0:00
Suspected Physical Attack,10/18/2011,3:45 AM,10/18/2011,5:25 AM,1:40
Vandalism,10/17/2011,3:44 PM,10/17/2011,3:44 PM,0:00
Vandalism,10/17/2011,3:34 AM,10/17/2011,10:42 AM,7:08
Vandalism,10/14/2011,2:20 PM,10/14/2011,2:20 PM,0:00
Suspected Physical Attack,10/7/2011,8:04 AM,10/7/2011,4:00 PM,7:56
Vandalism,10/6/2011,11:07 AM,10/6/2011,11:07 AM,0:00
Suspected Physical Attack,9/30/2011,8:22 AM,9/30/2011,8:22 AM,0:00
Severe Weather,9/29/2011,5:00 AM,9/30/2011,6:00 AM,1:00
Suspected Physical Attack,9/28/2011,4:41 PM,9/28/2011,4:41 PM,0:00
Vandalism,9/28/2011,2:59 PM,9/28/2011,2:59 PM,0:00
Vandalism,9/28/2011,9:30 AM,9/28/2011,1:00 PM,3:30
Vandalism,9/26/2011,10:15 AM,9/26/2011,10:15 AM,0:00
Vandalism,9/23/2011,9:04 AM,9/23/2011,9:04 AM,0:00
Vandalism,9/22/2011,2:50 PM,9/22/2011,2:51 PM,0:01
Generation Inadequacy; Load Shed,9/21/2011,2:37 PM,9/21/2011,3:47 PM,1:10
Suspected Physical Attack,9/21/2011,10:30 AM,9/21/2011,10:30 AM,0:00
Vandalism,9/20/2011,12:55 PM,9/20/2011,5:00 PM,4:05
Vandalism,9/14/2011,9:00 AM,9/14/2011,2:00 PM,5:00
Vandalism,9/13/2011,2:03 PM,9/13/2011,6:21 PM,4:18
Vandalism,9/13/2011,11:43 AM,9/14/2011,4:00 PM,4:17
Vandalism,9/12/2011,9:15 AM,9/12/2011,3:30 PM,6:15
Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,9/8/2011,3:28 PM,9/10/2011,3:30 PM,0:02
Actual Physical Attack,9/7/2011,12:08 AM,9/7/2011,10:50 AM,10:42
Severe Weather,9/3/2011,2:00 PM,9/8/2011,6:00 PM,4:00
Vandalism,9/1/2011,8:13 AM,9/1/2011,4:00 PM,7:47
Suspected Physical Attack,8/31/2011,12:52 PM,8/31/2011,12:52 PM,0:00
Suspected Physical Attack,8/28/2011,8:55 PM,8/28/2011,11:39 PM,2:44
Severe Weather,8/28/2011,12:30 PM,8/28/2011,12:31 PM,0:01
Severe Weather,8/28/2011,12:10 PM,8/28/2011,12:11 PM,0:01
Severe Weather,8/28/2011,7:40 AM,8/29/2011,7:40 AM,0:00
Severe Weather,8/28/2011,5:01 AM,9/3/2011,5:01 AM,0:00
Severe Weather,8/28/2011,5:00 AM,8/30/2011,5:00 AM,0:00
Severe Weather,8/28/2011,2:58 AM,8/30/2011,2:58 AM,0:00
Severe Weather,8/28/2011,12:30 AM,8/30/2011,12:30 AM,0:00
Severe Weather,8/28/2011,12:23 AM,8/30/2011,12:23 AM,0:00
Severe Weather,8/28/2011,12:01 AM,8/30/2011,12:01 AM,0:00
Severe Weather,8/27/2011,8:30 PM,9/4/2011,11:30 PM,3:00
Severe Weather,8/27/2011,2:57 AM,8/29/2011,11:30 PM,20:33
Severe Weather,8/27/2011,10:00 PM,8/29/2011,10:00 PM,0:00
Severe Weather,8/27/2011,11:05:00 p.m.,8/29/2011,3:30 PM,#VALUE!
Severe Weather,8/27/2011,10:33 AM,8/29/2011,2:00 PM,3:27
Severe Weather,8/27/2011,1:00 PM,8/29/2011,1:00 PM,0:00
Distribution System Interruption,8/27/2011,2:00 AM,8/27/2011,5:15 AM,3:15
Severe Weather,8/26/2011,12:30 AM,8/28/2011,12:30 AM,0:00
Severe Weather,8/25/2011,12:30 AM,8/28/2011,8:00 PM,19:30
Suspected Physical Attack,8/25/2011,12:01 AM,8/25/2011,12:01 AM,0:00
Severe Weather,8/24/2011,2:51 PM,8/24/2011,10:00 PM,7:09
Public Appeal to Reduce Electricity Usage,8/24/2011,1:20 PM,8/29/2011,7:00 PM,5:40
Public Appeal to Reduce Electricity Usage,8/23/2011,3:43 PM,8/23/2011,7:00 PM,3:17
Public Appeal to Reduce Electricity Usage,8/23/2011,10:30 AM,8/23/2011,4:54 PM,6:24
Earthquake,8/23/2011,1:51 PM,8/23/2011,1:51 PM,0:00
Suspected Physical Attack,8/22/2011,10:05 AM,8/22/2011,4:00 PM,5:55
Severe Weather,8/21/2011,10:45 PM,8/23/2011,10:45 PM,0:00
Severe Weather,8/20/2011,5:42 PM,8/23/2011,8:00 PM,2:18
Suspected Physical Attack,8/18/2011,9:51 AM,8/18/2011,4:00 PM,6:09
Vandalism,8/15/2011,2:05 AM,8/15/2011,3:40 AM,1:35
Severe Weather,8/13/2011,4:41 PM,8/14/2011,7:00 PM,2:19
Vandalism,8/9/2011,10:26 AM,8/9/2011,5:00 PM,6:34
Vandalism,8/8/2011,9:35 AM,8/8/2011,4:00 PM,6:25
Suspected Physical Attack,8/8/2011,9:30 AM,8/8/2011,9:30 AM,0:00
Public Appeal to Reduce Electricity Usage,8/4/2011,10:30 AM,8/4/2011,4:00 PM,5:30
Public Appeal to Reduce Electricity Usage,8/3/2011,4:29 PM,8/3/2011,11:40 PM,7:11
Public Appeal to Reduce Electricity Usage,8/3/2011,4:30 PM,8/3/2011,9:00 PM,4:30
Fuel Supply Deficiency (Coal),8/3/2011,10:00 AM,8/19/2011,10:00 AM,0:00
Public Appeal to Reduce Electricity Usage,8/1/2011,3:00 PM,8/5/2011,7:00 PM,4:00
Vandalism,8/1/2011,2:18 PM,8/1/2011,2:18 PM,0:00
Vandalism,7/29/2011,11:46 AM,7/29/2011,5:00 PM,5:14
Vandalism,7/28/2011,7:25 PM,7/28/2011,7:25 PM,0:00
Vandalism,7/28/2011,1:32 PM,7/28/2011,1:32 PM,0:00
Severe Weather,7/28/2011,12:14 AM,7/29/2011,12:00 PM,11:46
Fuel Supply Deficiency (Coal),7/28/2011,7:26 AM,7/29/2011,7:26 AM,0:00
Vandalism,7/27/2011,12:07 PM,7/27/2011,12:08 PM,0:01
Vandalism,7/26/2011,12:01 PM,7/26/2011,12:01 PM,0:00
Vandalism,7/24/2011,2:34 PM,7/24/2011,3:47 PM,1:13
Severe Weather,7/23/2011,2:30 AM,7/24/2011,9:00 AM,6:30
Public Appeal to Reduce Electricity Usage,7/22/2011,11:00 AM,7/22/2011,6:00 PM,7:00
Load Shed,7/22/2011,11:34 AM,7/22/2011,5:26 PM,5:52
Public Appeal to Reduce Electricity Usage,7/21/2011,1:00 PM,7/21/2011,3:00 PM,2:00
Vandalism,7/20/2011,9:10 AM,7/20/2011,4:30 PM,7:20
Vandalism,7/19/2011,11:45 AM,7/19/2011,3:00 PM,3:15
Public Appeal to Reduce Electricity Usage,7/14/2011,11:00 AM,7/14/2011,7:00 PM,8:00
Load Shed,7/13/2011,5:19 PM,7/13/2011,10:03 PM,4:44
Suspected Physical Attack,7/12/2011,8:20 PM,7/12/2011,9:30 PM,1:10
Vandalism,7/12/2011,12:00 PM,7/12/2011,12:00 PM,0:00
Severe Weather,7/11/2011,2:27 PM,7/12/2011,3:50 PM,1:23
Vandalism,7/11/2011,1:30 PM,7/11/2011,1:30 PM,0:00
Vandalism,7/11/2011,1:13 PM,7/11/2011,1:13 PM,0:00
Severe Weather,7/11/2011,9:00 AM,7/11/2011,10:25 AM,1:25
Severe Weather,7/11/2011,9:00 AM,7/11/2011,9:00 AM,0:00
Vandalism,7/8/2011,10:00 AM,7/8/2011,10:00 AM,0:00
Vandalism,7/6/2011,9:51 AM,7/6/2011,9:52 AM,0:01
Vandalism,7/5/2011,10:40 AM,7/5/2011,11:37 AM,0:57
Severe Weather,7/4/2011,6:00 PM,7/4/2011,9:00 PM,3:00
Severe Weather,7/2/2011,8:15 PM,7/6/2011,10:00 PM,1:45
Vandalism,7/1/2011,4:38 PM,7/1/2011,10:38 PM,6:00
Severe Weather,7/1/2011,5:00 PM,7/3/2011,8:00 PM,3:00
Vandalism,7/1/2011,8:00 AM,7/1/2011,8:01 AM,0:01
Major System Interruption/Load Shed,6/30/2011,2:11 PM,6/30/2011,11:25 PM,9:14
Vandalism,6/30/2011,10:31 PM,6/30/2011,10:31 PM,0:00
Public Appeal to Reduce Electricity Usage,6/29/2011,11:30 AM,6/29/2011,6:04 PM,6:34
Public Appeal to Reduce Electricity Usage,6/27/2011,3:00 PM,6/27/2011,7:00 PM,4:00
Vandalism,6/27/2011,6:55 PM,6/27/2011,6:55 PM,0:00
Severe Thunderstorms,6/27/2011,12:00 AM,6/29/2011,1:00 AM,1:00
Vandalism,6/23/2011,8:10 AM,6/23/2011,9:00 AM,0:50
Vandalism,6/22/2011,8:12 PM,6/22/2011,8:12 PM,0:00
Severe Weather,6/22/2011,9:46 AM,6/22/2011,9:46 AM,0:00
Vandalism,6/20/2011,10:36 AM,6/20/2011,10:36 AM,0:00
Public Appeal to Reduce Electricity Usage,6/18/2011,4:45 PM,6/20/2011,11:59 PM,7:14
Severe Thunderstorms,6/18/2011,5:00 PM,6/18/2011,9:33 PM,4:33
Severe Thunderstorms,6/18/2011,3:30 PM,6/19/2011,3:42 PM,0:12
Severe Thunderstorms,6/12/2011,7:00 PM,6/12/2011,8:30 PM,1:30
Suspected Physical Attack,6/9/2011,2:15 PM,6/9/2011,2:15 PM,0:00
Severe Thunderstorms,6/9/2011,4:30 AM,6/9/2011,12:00 PM,7:30
Vandalism,6/8/2011,12:58 PM,6/8/2011,12:58 PM,0:00
Public Appeal to Reduce Electricity Usage,6/6/2011,3:00 PM,6/8/2011,3:00 PM,0:00
Load Shed/ Automatic undervoltage relay action,6/6/2011,12:13 AM,6/6/2011,3:15 AM,3:02
Electrical System Separation (Islanding),6/5/2011,8:02 PM,6/5/2011,8:55 PM,0:53
Vandalism,6/4/2011,1:17 AM,6/4/2011,3:25 AM,2:08
Severe Weather,5/29/2011,6:30 PM,5/31/2011,10:00 PM,3:30
Transmission Level Interruption,5/26/2011,1:00 AM,5/26/2011,6:00 AM,5:00
Severe Weather,5/24/2011,4:45 PM,5/26/2011,5:00 PM,0:15
Physical Attack,5/24/2011,9:00 AM,5/25/2011,9:10 AM,0:10
Severe Weather,5/23/2011,4:45 PM,5/25/2011,11:59 PM,7:14
Severe Weather,5/23/2011,12:30 PM,5/25/2011,12:30 PM,0:00
Physical Attack,5/21/2011,5:00 PM,5/22/2011,6:34 PM,1:34
Vandalism,5/13/2011,6:00 AM,5/13/2011,6:00 AM,0:00
Severe Weather,5/11/2011,12:15 AM,5/11/2011,5:20 PM,17:05
Vandalism,5/11/2011,1:35 PM,5/11/2011,1:35 PM,0:00
Vandalism,5/11/2011,11:00 AM,5/11/2011,11:30 AM,0:30
Vandalism,5/10/2011,1:45 PM,5/10/2011,3:00 PM,1:15
Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),5/10/2011,3:25 AM,5/11/2011,2:10 PM,10:45
Vandalism,5/9/2011,1:11 PM,5/9/2011,1:11 PM,0:00
Suspected Physical Attack,5/9/2011,4:08 AM,5/9/2011,6:40 AM,2:32
Vandalism,5/8/2011,7:35 PM,5/8/2011,7:35 PM,0:00
Vandalism,5/6/2011,6:56 AM,5/6/2011,10:30 AM,3:34
Vandalism,5/5/2011,9:15 AM,5/5/2011,9:15 AM,0:00
Suspected Sabotage,5/4/2011,12:20 PM,5/4/2011,3:40 PM,3:20
Suspected Physical Attack,5/4/2011,1:08 PM,5/4/2011,1:25 PM,0:17
Suspected Physical Attack,5/3/2011,12:00 PM,5/5/2011,12:00 PM,0:00
Severe Weather,5/2/2011,5:06 PM,5/2/2011,8:00 PM,2:54
Suspected Physical Attack,5/2/2011,2:00 PM,5/2/2011,2:00 PM,0:00
Vandalism,5/2/2011,8:52 AM,5/2/2011,10:46 AM,1:54
Severe Weather,4/28/2011,5:00 AM,4/30/2011,6:30 PM,13:30
Equipment Malfunction,4/28/2011,4:09 PM,4/28/2011,4:10 PM,0:01
Severe Weather,4/27/2011,10:00 AM,4/29/2011,4:29 PM,6:29
Severe Weather,4/27/2011,8:00 AM,5/2/2011,4:03 PM,8:03
Vandalism,4/26/2011,1:04 PM,4/26/2011,2:00 PM,0:56
Severe Weather,4/26/2011,5:49 AM,4/27/2011,9:59 AM,4:10
Severe Weather,4/26/2011,9:51 AM,4/28/2011,9:51 AM,0:00
Severe Weather,4/25/2011,5:30 PM,4/27/2011,6:00 PM,0:30
Equipment Malfunction,4/25/2011,4:33 PM,4/25/2011,5:19 PM,0:46
Severe Weather,4/22/2011,9:00 PM,4/22/2011,11:00 PM,2:00
Suspicious Activity,4/21/2011,7:00 PM,4/29/2011,7:05 PM,0:05
Vandalism,4/21/2011,7:15 AM,4/21/2011,4:50 PM,9:35
Severe Weather - High Winds,4/20/2011,2:00 AM,4/21/2011,12:00 PM,10:00
Equipment Malfunction,4/20/2011,8:07 AM,4/20/2011,8:14 AM,0:07
Severe Weather,4/19/2011,8:00 PM,4/19/2011,10:00 PM,2:00
Vandalism,4/19/2011,2:01 PM,4/19/2011,4:04 PM,2:03
Severe Weather,4/16/2011,2:16 PM,4/17/2011,4:30 PM,2:14
Suspicious Activity,4/11/2011,5:40 PM,4/11/2011,5:51 PM,0:11
Vandalism,4/6/2011,10:50 AM,4/6/2011,10:50 AM,0:00
Severe Weather,4/5/2011,2:00 AM,4/7/2011,11:00 PM,21:00
Severe Weather,4/4/2011,9:00 PM,4/5/2011,11:30 PM,2:30
Severe Weather,4/4/2011,7:00 PM,4/5/2011,8:00 PM,1:00
Severe Weather,3/31/2011,2:30 PM,4/1/2011,11:59 PM,9:29
Severe Weather,3/31/2011,11:30 AM,3/31/2011,8:30 PM,9:00
Transmission Level Outage,3/27/2011,1:27 PM,3/27/2011,5:00 PM,3:33
Major Storm,3/21/2011,12:35 PM,3/21/2011,2:45 PM,2:10
Vandalism,3/21/2011,12:57 AM,3/21/2011,2:29 AM,1:32
Major Storm,3/20/2011,9:44 AM,3/21/2011,10:00 AM,0:16
Vandalism,3/18/2011,9:54 AM,3/18/2011,3:34 PM,5:40
Vandalism,3/17/2011,7:40 AM,3/17/2011,11:00 AM,3:20
Suspected Physical Attack,3/15/2011,6:00 PM,3/15/2011,7:14 PM,1:14
Suspected Cyber Attack,3/14/2011,7:30 AM,3/14/2011,4:55 PM,9:25
Severe Weather,3/13/2011,2:20 PM,3/14/2011,3:46 PM,1:26
Generation Inadequacy/Load Shed,3/11/2011,7:02 AM,3/11/2011,9:15 AM,2:13
Fuel Supply Deficiency (Coal),3/8/2011,8:00 AM,3/18/2001,9:00 AM,1:00
Vandalism,3/6/2011,2:54 AM,3/8/2011,8:00 AM,5:06
Fuel Supply Deficiency (Coal),3/1/2011,8:00 AM,3/5/2011,9:30 AM,1:30
Severe Weather,2/25/2011,3:23 PM,2/27/2011,6:00 PM,2:37
Severe Weather,2/25/2011,3:20 PM,2/25/2011,6:00 PM,2:40
Winter Storm,2/25/2011,8:00 AM,2/28/2011,5:30 PM,9:30
Vandalism,2/25/2011,10:30 AM,2/25/2011,10:45 AM,0:15
Electrical System Separation (Islanding),2/24/2011,4:51 PM,2/24/2011,4:54 PM,0:03
Winter Storm,2/20/2011,4:00 PM,2/23/2011,4:00 PM,0:00
Vandalism,2/19/2011,4:34 PM,2/19/2011,4:34 PM,0:00
Suspected Cyber Attack,2/17/2011,1:00 PM,2/23/2011,4:53 PM,3:53
Major Storm,2/17/2011,1:25 AM,2/19/2011,10:13 AM,8:48
Vandalism,2/10/2011,1:00 PM,2/10/2011,1:00 PM,0:00
Vandalism,2/9/2011,2:54 PM,2/9/2011,5:00 PM,2:06
Winter Storm,2/9/2011,3:45 AM,2/9/2011,9:12 AM,5:27
Suspected Cyber Attack,2/3/2011,2:30 PM,2/3/2011,2:30 PM,0:00
Winter Storm,2/2/2011,3:00 AM,2/4/2011,11:59 PM,20:59
Generation Inadequacy/Load Shed,2/2/2011,7:24 AM,2/2/2011,10:23 PM,14:59
Fuel Supply Deficiency (Natural Gas),2/2/2011,5:00 PM,2/3/2011,10:00 PM,5:00
Generation Inadequacy/Load Shed,2/2/2011,5:43 AM,2/3/2011,10:00 AM,4:17
Generation Inadequacy/Load Shed,2/2/2011,6:22 AM,2/2/2011,9:57 AM,3:35
Vandalism,1/27/2011,9:30 AM,1/27/2011,9:30 AM,0:00
Suspected Telecommunications Attack,1/26/2011,9:25 AM,1/27/2011,5:00 PM,7:35
Vandalism,1/26/2011,9:33 AM,1/27/2011,3:03 PM,5:30
Vandalism,1/25/2011,3:23 AM,1/25/2011,11:00 AM,7:37
Suspicious Activity,1/24/2011,1:20 PM,1/24/2011,1:30 PM,0:10
Vandalism,1/23/2011,7:00 AM,1/23/2011,1:00 PM,6:00
Vandalism,1/18/2011,2:00 PM,1/18/2011,2:00 PM,0:00
Firm System Load Shed,1/13/2011,7:21 AM,1/13/2011,8:13 AM,0:52
Winter Storm,1/12/2011,6:00 AM,1/12/2011,2:00 PM,8:00
Electrical Fault at Generator,1/11/2011,11:08 PM,1/11/2011,11:08 PM,0:00
